Name,Longitude,Latitude
Ahmad Ibrahim Secondary School,103.8297187,1.436059754
Anderson Secondary School,103.8515541,1.374340017
Anglican High School,103.9418535,1.331181079
Anglo-Chinese School (Barker Road),103.834516,1.31915766
Anglo-Chinese School (Independent),103.7803634,1.303704093
Ang Mo Kio Secondary School,103.842155,1.367337102
Assumption English School,103.7666875,1.368381607
Bartley Secondary School,103.8828062,1.339954156
Beatty Secondary School,103.8522808,1.341790285
Bedok Green Secondary School,103.9350284,1.334519473
Bedok South Secondary School,103.9509891,1.325136552
Bedok View Secondary School,103.9437762,1.32415704
Bendemeer Secondary School,103.8605183,1.324348431
Boon Lay Secondary School,103.7018915,1.342722163
Bowen Secondary School,103.8776596,1.370359944
Broadrick Secondary School,103.8869179,1.307050611
Bukit Batok Secondary School,103.7408737,1.348491111
Bukit Merah Secondary School,103.8134389,1.285692831
Bukit Panjang Government High School,103.7383612,1.382242434
Bukit View Secondary School,103.7522266,1.345733055
Catholic High School,103.8442107,1.354388784
Canberra Secondary School,103.8142036,1.453190863
Cedar Girls' Secondary School,103.8739331,1.333758002
Changkat Changi Secondary School,103.9532455,1.339506301
CHIJ Katong Convent (Secondary),103.9173469,1.306732638
CHIJ Secondary (Toa Payoh),103.8432716,1.332460799
CHIJ St. Joseph's Convent,103.902465,1.391752223
CHIJ St. Nicholas Girls' School,103.8342533,1.373476879
CHIJ St. Theresa's Convent,103.8224407,1.275351775
Chua Chu Kang Secondary School,103.7518783,1.383190293
Christ Church Secondary School,103.7934511,1.426567809
Chung Cheng High School (Main),103.8907128,1.304835572
Chung Cheng High School (Yishun),103.8373908,1.419226036
Clementi Town Secondary School,103.7620206,1.315539129
Commonwealth Secondary School,103.7456374,1.319203959
Compassvale Secondary School,103.8998472,1.39614084
Crescent Girls' School,103.8175445,1.293319471
Damai Secondary School,103.9270917,1.336927985
Deyi Secondary School,103.8525458,1.365997026
Dunearn Secondary School,103.7447211,1.363579008
Dunman High School,103.8824657,1.299685757
Dunman Secondary School,103.9562139,1.360652583
East Spring Secondary School,103.9606407,1.35622509
Edgefield Secondary School,103.9026874,1.4005931
Evergreen Secondary School,103.7941378,1.441491313
Fairfield Methodist Secondary School,103.7840996,1.301633744
Fajar Secondary School,103.7639989,1.375600053
Fuchun Secondary School,103.7776257,1.430704529
Fuhua Secondary School,103.7265209,1.347014089
Gan Eng Seng School,103.847175,1.278169325
Geylang Methodist School (Secondary),103.8826611,1.317649005
Greendale Secondary School,103.9117001,1.396960199
Greenridge Secondary School,103.7738285,1.381864337
Guangyang Secondary School,103.8502089,1.34440856
Hai Sing Catholic School,103.9549579,1.374346412
Hillgrove Secondary School,103.7529865,1.352735766
Holy Innocents' High School,103.8963988,1.371545088
Hougang Secondary School,103.882534,1.377640193
Hua Yi Secondary School,103.7218323,1.352343655
Hwa Chong Institution,103.8007791,1.325378405
Junyuan Secondary School,103.9338862,1.353613153
Jurong Secondary School,103.7020989,1.335256347
Jurong West Secondary School,103.7020989,1.335256347
Jurongville Secondary School,103.7289077,1.351288628
Juying Secondary School,103.6873103,1.338722773
Kent Ridge Secondary School,103.7648896,1.301227734
Kranji Secondary School,103.7411907,1.390051099
Kuo Chuan Presbyterian Secondary School,103.8549837,1.350171299
Loyang View Secondary School,103.9569446,1.366584172
Manjusri Secondary School,103.90172,1.327471231
Maris Stella High School,103.8780964,1.342183957
Marsiling Secondary School,103.7760081,1.436644248
Mayflower Secondary School,103.8353607,1.368272662
Meridian Secondary School,103.9489725,1.367246849
Methodist Girls' School (Secondary),103.8851201,1.350967559
Montfort Secondary School,103.8889284,1.373961317
Nan Chiau High School,103.8900044,1.388795825
Nan Hua High School,103.7685614,1.308095295
Nanyang Girls' High School,103.802421,1.330583267
National Junior College,103.8046337,1.331926359
Naval Base Secondary School,103.8310504,1.419378816
New Town Secondary School,103.7731886,1.3097759
Ngee Ann Secondary School,103.9567473,1.354475258
North Vista Secondary School,103.8991888,1.381131285
Northbrooks Secondary School,103.8451473,1.42081285
Northland Secondary School,103.8401047,1.435801834
NUS High School of Mathematics and Science,103.7693652,1.306564481
Orchid Park Secondary School,103.8378592,1.415320328
Outram Secondary School,103.8371273,1.286513575
Pasir Ris Crest Secondary School,103.9597282,1.372840601
Pasir Ris Secondary School,103.9489626,1.354227327
Paya Lebar Methodist Girls' School (Secondary),103.8851201,1.350967559
Pei Hwa Secondary School,103.8784617,1.39037505
Peicai Secondary School,103.8700107,1.359515832
Peirce Secondary School,103.8302161,1.366659447
Ping Yi Secondary School,103.9207007,1.327016728
Presbyterian High School,103.8431494,1.382011943
Punggol Secondary School,103.9092137,1.402057384
Queenstown Secondary School,103.813191,1.293521268
Queensway Secondary School,103.8022073,1.300222716
Raffles Girls' School (Secondary),103.843134,1.342174799
Raffles Institution,103.8437657,1.346964855
Regent Secondary School,103.7510344,1.393279083
Riverside Secondary School,103.7883082,1.441101571
River Valley High School,103.7090222,1.344078011
St. Andrew's Secondary School,103.8662491,1.33069361
St. Patrick's School,103.9167684,1.307683931
"School of Science and Technology, Singapore",103.7740115,1.312928106
School of the Arts,103.8142578,1.296568313
Sembawang Secondary School,103.8168433,1.445315021
Sengkang Secondary School,103.8983655,1.386521291
Serangoon Garden Secondary School,103.8692703,1.369325705
Serangoon Secondary School,103.9021387,1.374655388
Singapore Chinese Girls' School,103.8390559,1.302399157
Singapore Sports School,103.7875582,1.427016799
Springfield Secondary School,103.9303545,1.349573035
St. Anthony's Canossian Secondary School,103.9419772,1.334663135
St. Gabriel's Secondary School,103.8760942,1.346487987
St. Hilda's Secondary School,103.937608,1.349739224
St. Margaret's Secondary School,103.8099511,1.320068214
St. Joseph's Institution,103.828499,1.323653135
Swiss Cottage Secondary School,103.7503961,1.364717427
Tanglin Secondary School,103.7581584,1.309701692
Tampines Secondary School,103.9442637,1.349260948
Tanjong Katong Girls' School,103.8958201,1.308212746
Tanjong Katong Secondary School,103.8972252,1.30873516
Teck Whye Secondary School,103.7551033,1.383334226
Temasek Junior College,103.9355673,1.31849283
Temasek Secondary School,103.9475641,1.315916732
Unity Secondary School,103.7460209,1.400015241
Victoria School,103.9281975,1.308308039
West Spring Secondary School,103.7601288,1.387822833
Westwood Secondary School,103.7017721,1.353736985
Whitley Secondary School,103.8425524,1.355052085
Woodgrove Secondary School,103.7960476,1.428318281
Woodlands Ring Secondary School,103.8001485,1.436488947
Woodlands Secondary School,103.7745864,1.439125281
Xinmin Secondary School,103.8830516,1.372558847
Yio Chu Kang Secondary School,103.842137,1.377975977
Yishun Secondary School,103.8380942,1.432321567
Yishun Town Secondary School,103.8380942,1.432321567
Yuan Ching Secondary School,103.7208987,1.342006358
Yuhua Secondary School,103.7226872,1.347186269
Yusof Ishak Secondary School,103.8962751,1.406937025
Yuying Secondary School,103.8901948,1.357135953
Zhenghua Secondary School,103.7655106,1.388365834
Zhonghua Secondary School,103.8694305,1.348407208
San Yu Adventist School,103.8410428,1.321841399
Madrasah Aljunied Al-Islamiah,103.857697,1.304626003
Madrasah Irsyad Zuhri Al-Islamiah,103.8519078,1.342645249
Madrasah Al-Arabiah Al-Islamiah,103.8547067,1.337372812
Madrasah Al-Maarif Al-Islamiah,103.8905986,1.315528697
Madrasah Alsagoff Al-Arabiah,103.8606718,1.303661578
Madrasah Wak Tanjong Al-Islamiah,103.8911968,1.317131039
Crest Secondary School,103.7426281,1.343119805
Spectra Secondary School,103.8041005,1.437037508
