Name,Latitude,Longitude
Market Street Hawker Centre,1.2844248503218,103.850164578087
Marsiling Mall Hawker Centre,1.43353885680037,103.779784899996
Margaret Drive Hawker Centre,1.29748567106686,103.804715225285
Fernvale Hawker Centre & Market,1.39159232727757,103.877060478847
One Punggol Hawker Centre,1.40818996870647,103.904805657576
Bukit Canberra Hawker Centre,1.44901674160031,103.822484958307
Senja Hawker Centre,1.38713573069818,103.761017756804
Buangkok Hawker Centre,1.38238755827879,103.892403203249
Bukit Batok West Hawker Centre,1.35521457121361,103.741825836536
Telok Blangah Hawker Centre & Market,1.27324863952078,103.808078713674
Bedok North Street 3 Blk 538,1.33178125123252,103.924844235398
Bedok North Street 4 Blk 85 (85 Fengshan Centre),1.33198706861747,103.938732580554
Adam Road Food Centre,1.32413422253318,103.814165010384
Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),1.32064829234987,103.88701902611
Amoy Street Food Centre (Telok Ayer Food Centre),1.27921844263269,103.846606784092
Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),1.36678764523637,103.839231344066
Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),1.36410517096399,103.848254220438
Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),1.36276891777383,103.855369790045
Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),1.36824049310006,103.856351437414
Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),1.37276992816898,103.854482811591
Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),1.37448912101909,103.839214290038
Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),1.38102486670548,103.840682307297
Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),1.37219743270045,103.846519219268
Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),1.36723014879667,103.839953165936
Bedok Food Centre,1.32035600765426,103.955474150677
Bedok North Street 1 Blk 216,1.32706240888967,103.933221544751
Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),1.33324627868937,103.930602144469
Bedok Reservoir Road Blk 630,1.33315924777343,103.91405388831
Bedok South Road Blk 16,1.32055216480957,103.93553909635
Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),1.31921699786807,103.863021377531
Beo Crescent Market,1.28882210205212,103.827358017197
Berseh Food Centre,1.30733651651517,103.856853966617
Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),1.3452231627967,103.712799765872
